0.40,2.94,35.0
0.4,2.72,33.0
0.4,2.75,31.0
0.75,5.1,56.0
0.75,4.72,52.0
0.75,4.64,49.0
0.75,4.6,47.0
0.75,4.57,45.0
0.75,4.58,44.0
0.96,5.77,53.0
1,5.82,53.0
1,5.66,51.0
1,5.62,50.0
1,5.53,48.0
1.05,5.75,49.0
1.15,6.23,52.0
1.18,6.31,52.0
1.25,6.6,49.0
1.25,6.5,48.0
1.25,6.31,46.0
1.39,6.81,49.0
1.58,7.44,52.0
1.6,7.22,50.0
1.6,6.89,47.0
1.6,6.6,44.0
1.6,6.4,41.0
1.6,6.02,39.0
1.87,6.41,42.0
2.1,6.64,44.0
2.3,6.88,45.0
2.3,6.47,42.0
2.65,7.15,45.0
2.9,7.15,46.0
3.1,6.88,45.0
3.35,6.8,45.0
3.35,6.42,43.0
3.35,6.16,41.0
3.35,5.93,40.0
3.35,5.73,38.0
3.35,5.63,38.0
3.35,5.45,37.0
3.35,5.25,36.0
3.35,5.04,34.0
3.69,5.29,36.0
4.14,5.72,39.0
4.25,5.73,39.0
4.25,5.59,39.0
4.25,5.48,38.0
4.25,5.35,37.0
4.38,5.37,36.0
4.88,5.86,39.0
5.15,6.09,40.0
5.15,5.97,38.0
5.15,5.78,37.0
5.15,5.62,35.0
5.15,5.53,34.0
5.15,5.41,34.0
5.15,5.27,33.0
5.15,5.15,32.0
